"variable","label","class"
"n25_2","Was your hip joint replacement due to fracture?","haven_labelled"
"n25_3","Was your hip joint replacement due to another reason?","haven_labelled"
"n26","Have you had surgery to replace the knee joint with a prosthesis?","haven_labelled"
"n27","When was the last time you had an exam to check your blood pressure?","haven_labelled"
"n28","Has any doctor ever told you that you have arterial hypertension (high blood pre","haven_labelled"
"n29","How old were you when the doctor told you that you had hypertension?","haven_labelled"
"n30","In general, how much does your hypertension or any complication from it limit yo","haven_labelled"
"n31","Do you take any medication to control your hypertension (high blood pressure)?","haven_labelled"
"n32","Have you ever stopped taking any of the medications for high blood pressure?","haven_labelled"
"n33","Have you ever decreased or increased the number of tablets of any high blood pre","haven_labelled"
"n34","When was the last time you had a blood exam to check your glucose levels?","haven_labelled"
"n35","Has any doctor ever told you that you have diabetes (â€œhigh blood sugarâ€","haven_labelled"
"n36","How old were you when the doctor told you that you had diabetes?","haven_labelled"
"n37","In general, how much does your diabetes or any complication from it prevent you","haven_labelled"
"n38_1","Currently, have you been on diet to control your diabetes?","haven_labelled"
"n38_2","Currently, have you been doing physical activity to control your diabetes?","haven_labelled"
"n38_3","Currently, have you been taking oral medications, such as hypoglycemic agents, t","haven_labelled"
"n38_4","Currently, have you been taking insulin to control your diabetes?","haven_labelled"
"n38_5","Currently, have you been doing anything else to control your diabetes?","haven_labelled"
"n39","Have you ever stopped taking any of the medications for the diabetes?","haven_labelled"
"n40","Have you ever decreased or increased the number of tablets of any diabetes medic","haven_labelled"
"n41","When was the last time an ophthalmologist performed an eye exam or a fundoscopic","haven_labelled"
"n42","When was the last time a doctor or a health care professional checked your feet","haven_labelled"
"n43","When was the last time you had a blood exam to measure your cholesterol?","haven_labelled"
"n44","Has any doctor ever told you that you have high cholesterol?","haven_labelled"
"n45","How old were you when the doctor told you that you had high cholesterol?","haven_labelled"
"n46","Has any doctor ever told you that you had a heart attack?","haven_labelled"
"n47","How old were you when you had a heart attack?","haven_labelled"
"n47_2","Have you had any other heart attacks after that?","haven_labelled"
"n47_3","In total, how many heart attacks have you had?","haven_labelled"
